dataset	estimator	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories
all_datasets	ad_density__70	0.56 (0.19)	0.51 (0.31)	0.1 (0.32)	0.4 (0.16)	0.32 (0.21)	0.0 (0.0)	<b>0.65 (0.07)</b>	<b>0.74 (0.15)</b>	<b>0.1 (0.32)</b>	0.53 (0.12)	0.49 (0.21)	0.0 (0.0)	0.42 (0.08)	0.42 (0.07)	0.0 (0.0)	0.43 (0.08)	0.42 (0.07)	0.0 (0.0)
all_datasets	ad_fixed__70	0.57 (0.2)	0.54 (0.29)	0.1 (0.32)	0.44 (0.18)	0.46 (0.27)	0.0 (0.0)	<b>0.64 (0.08)</b>	<b>0.68 (0.2)</b>	<b>0.1 (0.32)</b>	0.53 (0.13)	0.55 (0.28)	0.0 (0.0)	<b>0.32 (0.18)</b>	<b>0.32 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.31 (0.18)</b>	<b>0.32 (0.18)</b>	<b>0.0 (0.0)</b>
all_datasets	ad_random__70	0.58 (0.14)	0.58 (0.19)	0.0 (0.0)	0.43 (0.16)	0.46 (0.27)	0.1 (0.32)	<b>0.62 (0.12)</b>	<b>0.71 (0.27)</b>	<b>0.1 (0.32)</b>	0.54 (0.09)	0.54 (0.21)	0.1 (0.32)	0.42 (0.1)	0.42 (0.12)	0.0 (0.0)	0.42 (0.1)	0.42 (0.12)	0.0 (0.0)
all_datasets	ad_size__70	0.69 (0.19)	0.72 (0.21)	0.1 (0.32)	0.54 (0.25)	0.57 (0.31)	0.1 (0.32)	0.66 (0.13)	0.71 (0.25)	0.1 (0.32)	0.54 (0.17)	0.54 (0.29)	0.1 (0.32)	<b>0.26 (0.11)</b>	<b>0.26 (0.13)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.11)</b>	<b>0.25 (0.13)</b>	<b>0.0 (0.0)</b>
all_datasets	md_density__70	0.38 (0.26)	0.4 (0.3)	0.1 (0.32)	0.6 (0.15)	0.58 (0.22)	0.0 (0.0)	0.34 (0.2)	0.3 (0.33)	0.0 (0.0)	0.39 (0.22)	0.34 (0.36)	0.2 (0.42)	0.59 (0.3)	0.6 (0.29)	0.1 (0.32)	0.59 (0.3)	0.6 (0.29)	0.1 (0.32)
all_datasets	md_fixed__70	<b>0.79 (0.19)</b>	<b>0.88 (0.23)</b>	<b>0.6 (0.52)</b>	0.61 (0.18)	0.6 (0.18)	0.1 (0.32)	<b>0.61 (0.14)</b>	<b>0.63 (0.31)</b>	<b>0.2 (0.42)</b>	0.55 (0.16)	0.51 (0.33)	0.0 (0.0)	0.62 (0.35)	0.62 (0.36)	0.3 (0.48)	0.62 (0.35)	0.62 (0.36)	0.3 (0.48)
all_datasets	md_random__70	0.5 (0.22)	0.54 (0.3)	0.0 (0.0)	<b>0.73 (0.13)</b>	<b>0.8 (0.17)</b>	<b>0.1 (0.32)</b>	0.44 (0.18)	0.42 (0.27)	0.0 (0.0)	0.52 (0.19)	0.55 (0.28)	0.0 (0.0)	0.53 (0.26)	0.52 (0.28)	0.0 (0.0)	0.54 (0.26)	0.53 (0.26)	0.0 (0.0)
all_datasets	md_size__70	0.62 (0.15)	0.62 (0.21)	0.0 (0.0)	<b>0.77 (0.18)</b>	<b>0.8 (0.32)</b>	<b>0.5 (0.53)</b>	0.51 (0.16)	0.52 (0.31)	0.2 (0.42)	0.58 (0.13)	0.64 (0.2)	0.0 (0.0)	<b>0.34 (0.26)</b>	<b>0.34 (0.26)</b>	<b>0.0 (0.0)</b>	<b>0.34 (0.26)</b>	<b>0.34 (0.26)</b>	<b>0.0 (0.0)</b>
all_datasets	mse_density__70	0.34 (0.22)	0.28 (0.23)	0.0 (0.0)	0.46 (0.29)	0.44 (0.34)	0.1 (0.32)	0.44 (0.14)	0.36 (0.23)	0.0 (0.0)	0.58 (0.21)	0.58 (0.33)	0.1 (0.32)	0.86 (0.22)	0.86 (0.23)	0.4 (0.52)	0.86 (0.22)	0.86 (0.23)	0.4 (0.52)
all_datasets	mse_fixed__70	0.57 (0.19)	0.5 (0.24)	0.0 (0.0)	0.47 (0.24)	0.42 (0.3)	0.0 (0.0)	<b>0.59 (0.16)</b>	<b>0.52 (0.33)</b>	<b>0.2 (0.42)</b>	0.51 (0.21)	0.42 (0.35)	0.2 (0.42)	0.68 (0.31)	0.68 (0.32)	0.1 (0.32)	0.68 (0.32)	0.68 (0.33)	0.1 (0.32)
