	bxt_gmo	bxt_gmo__nrlmf	bxt_gmosa	bxt_gmosa__nrlmf	bxt_gso	bxt_gso_1k__nrlmf	bxt_gso__nrlmf	bxt_lmo	bxt_lmo__nrlmf	bxt_lso	bxt_lso__nrlmf
bxt_gmo	1.0	4.936667049632353e-05	4.936667049632353e-05	0.5811179556497713	4.936667049632353e-05	0.443450927734375	0.9026638297147529	4.936667049632353e-05	0.443450927734375	4.936667049632353e-05	0.443450927734375
bxt_gmo__nrlmf	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05	4.936667049632353e-05
bxt_gmosa	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_gmosa__nrlmf	0.5811179556497713	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	0.7812463669549851	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
bxt_gso	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_gso_1k__nrlmf	0.443450927734375	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	0.09721498231630067	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
bxt_gso__nrlmf	0.9026638297147529	4.936667049632353e-05	4.936667049632353e-05	0.7812463669549851	4.936667049632353e-05	0.09721498231630067	1.0	4.936667049632353e-05	0.09721498231630067	4.936667049632353e-05	0.09721498231630067
bxt_lmo	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_lmo__nrlmf	0.443450927734375	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	0.09721498231630067	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
bxt_lso	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	4.936667049632353e-05
bxt_lso__nrlmf	0.443450927734375	4.936667049632353e-05	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0	0.09721498231630067	4.936667049632353e-05	1.0	4.936667049632353e-05	1.0
