dataset	estimator	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories
all_datasets	ad_density__90	0.47 (0.15)	0.5 (0.24)	0.0 (0.0)	0.37 (0.13)	0.37 (0.25)	0.0 (0.0)	0.53 (0.15)	0.5 (0.3)	0.0 (0.0)	0.45 (0.13)	0.36 (0.24)	0.0 (0.0)	<b>0.22 (0.07)</b>	<b>0.21 (0.06)</b>	<b>0.0 (0.0)</b>	0.22 (0.07)	0.21 (0.07)	0.0 (0.0)
all_datasets	ad_fixed__90	0.49 (0.27)	0.52 (0.38)	0.3 (0.48)	0.52 (0.29)	0.59 (0.36)	0.3 (0.48)	0.58 (0.23)	0.58 (0.35)	0.3 (0.48)	0.57 (0.23)	0.68 (0.36)	0.5 (0.53)	0.34 (0.05)	0.33 (0.01)	0.0 (0.0)	0.34 (0.05)	0.33 (0.0)	0.0 (0.0)
all_datasets	ad_random__90	0.47 (0.15)	0.48 (0.24)	0.0 (0.0)	0.37 (0.13)	0.37 (0.24)	0.0 (0.0)	0.53 (0.15)	0.5 (0.3)	0.0 (0.0)	0.45 (0.13)	0.36 (0.24)	0.0 (0.0)	<b>0.23 (0.22)</b>	<b>0.23 (0.27)</b>	<b>0.1 (0.32)</b>	0.24 (0.23)	0.24 (0.27)	0.1 (0.32)
all_datasets	ad_size__90	0.47 (0.15)	0.48 (0.25)	0.0 (0.0)	0.37 (0.13)	0.34 (0.25)	0.0 (0.0)	0.53 (0.15)	0.5 (0.3)	0.0 (0.0)	0.45 (0.13)	0.36 (0.24)	0.0 (0.0)	<b>0.2 (0.12)</b>	<b>0.18 (0.13)</b>	<b>0.0 (0.0)</b>	<b>0.18 (0.1)</b>	<b>0.18 (0.13)</b>	<b>0.0 (0.0)</b>
all_datasets	md_density__90	<b>0.7 (0.15)</b>	<b>0.74 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.73 (0.16)</b>	<b>0.74 (0.23)</b>	<b>0.0 (0.0)</b>	0.56 (0.09)	0.57 (0.25)	0.0 (0.0)	0.58 (0.08)	0.6 (0.28)	0.0 (0.0)	0.58 (0.17)	0.55 (0.23)	0.0 (0.0)	0.58 (0.17)	0.54 (0.21)	0.0 (0.0)
all_datasets	md_fixed__90	<b>0.7 (0.14)</b>	<b>0.72 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.73 (0.16)</b>	<b>0.73 (0.23)</b>	<b>0.0 (0.0)</b>	0.57 (0.09)	0.6 (0.25)	0.0 (0.0)	0.58 (0.08)	0.61 (0.29)	0.0 (0.0)	0.73 (0.18)	0.75 (0.18)	0.1 (0.32)	0.72 (0.2)	0.74 (0.19)	0.1 (0.32)
all_datasets	md_random__90	<b>0.7 (0.14)</b>	<b>0.72 (0.22)</b>	<b>0.0 (0.0)</b>	<b>0.73 (0.16)</b>	<b>0.71 (0.22)</b>	<b>0.0 (0.0)</b>	0.57 (0.09)	0.6 (0.25)	0.0 (0.0)	0.58 (0.08)	0.61 (0.29)	0.0 (0.0)	0.65 (0.19)	0.62 (0.24)	0.1 (0.32)	0.64 (0.19)	0.64 (0.2)	0.1 (0.32)
all_datasets	md_size__90	<b>0.7 (0.15)</b>	<b>0.75 (0.24)</b>	<b>0.0 (0.0)</b>	<b>0.73 (0.16)</b>	<b>0.72 (0.23)</b>	<b>0.0 (0.0)</b>	0.57 (0.09)	0.6 (0.25)	0.0 (0.0)	0.58 (0.08)	0.61 (0.29)	0.0 (0.0)	0.71 (0.2)	0.71 (0.23)	0.2 (0.42)	0.72 (0.2)	0.74 (0.21)	0.2 (0.42)
all_datasets	mse_density__90	0.45 (0.13)	0.42 (0.24)	0.0 (0.0)	0.49 (0.12)	0.47 (0.25)	0.0 (0.0)	0.52 (0.1)	0.52 (0.28)	0.0 (0.0)	0.57 (0.09)	0.6 (0.21)	0.0 (0.0)	0.74 (0.16)	0.79 (0.22)	0.2 (0.42)	0.75 (0.17)	0.8 (0.22)	0.2 (0.42)
all_datasets	mse_fixed__90	0.45 (0.13)	0.39 (0.23)	0.0 (0.0)	0.49 (0.11)	0.47 (0.23)	0.0 (0.0)	0.52 (0.11)	0.5 (0.3)	0.0 (0.0)	0.57 (0.09)	0.57 (0.23)	0.0 (0.0)	0.72 (0.14)	0.76 (0.16)	0.1 (0.32)	0.73 (0.14)	0.77 (0.15)	0.1 (0.32)
