cv	end	hash	start	dataset	estimator	estimator	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results
fold				name	call	name	LL_average_precision	LL_balanced_accuracy	LL_f1_macro	LL_f1_micro	LL_f1_weighted	LL_matthews_corrcoef	LL_precision_macro	LL_precision_micro	LL_precision_weighted	LL_recall_macro	LL_recall_micro	LL_recall_weighted	LL_roc_auc	LT_average_precision	LT_balanced_accuracy	LT_f1_macro	LT_f1_micro	LT_f1_weighted	LT_matthews_corrcoef	LT_precision_macro	LT_precision_micro	LT_precision_weighted	LT_recall_macro	LT_recall_micro	LT_recall_weighted	LT_roc_auc	TL_average_precision	TL_balanced_accuracy	TL_f1_macro	TL_f1_micro	TL_f1_weighted	TL_matthews_corrcoef	TL_precision_macro	TL_precision_micro	TL_precision_weighted	TL_recall_macro	TL_recall_micro	TL_recall_weighted	TL_roc_auc	TT_average_precision	TT_balanced_accuracy	TT_f1_macro	TT_f1_micro	TT_f1_weighted	TT_matthews_corrcoef	TT_precision_macro	TT_precision_micro	TT_precision_weighted	TT_recall_macro	TT_recall_micro	TT_recall_weighted	TT_roc_auc	fit_time	score_time	LT+TL_average_precision	LT+TL_balanced_accuracy	LT+TL_f1_macro	LT+TL_f1_micro	LT+TL_f1_weighted	LT+TL_matthews_corrcoef	LT+TL_precision_macro	LT+TL_precision_micro	LT+TL_precision_weighted	LT+TL_recall_macro	LT+TL_recall_micro	LT+TL_recall_weighted	LT+TL_roc_auc	fit_score_time
0	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9942627761156067	0.8691610488269215	0.7505695385887515	0.7897803046255352	0.8105701285388757	0.5973661317061271	0.7416603108883562	0.7897803046255352	0.8983964861219026	0.8691610488269215	0.7897803046255352	0.7897803046255352	0.9992384568552358	0.4369527736934873	0.7093121746961486	0.5727706097896659	0.6007471627420655	0.6395904542449478	0.33298269411282827	0.6324307517462785	0.6007471627420655	0.8272539251585528	0.7093121746961486	0.6007471627420655	0.6007471627420655	0.7925983082193409	0.6748034579045442	0.7727775531581424	0.6284917577878881	0.6534201665780613	0.6857371391502373	0.4398346585524551	0.6773006288679111	0.6534201665780613	0.8623225372151777	0.7727775531581424	0.6534201665780613	0.6534201665780613	0.8968646545691819	0.3543297931862967	0.6245629969714663	0.44456791798565937	0.4486024033437827	0.4731308376973077	0.22039014412519387	0.5974844392164274	0.44860240334378265	0.8049849867239497	0.6245629969714663	0.44860240334378265	0.44860240334378265	0.7105100273394942	5166.165992021561	54.70065236091614	0.5558781157990158	0.7410448639271455	0.600631183788777	0.6270836646600635	0.6626637966975926	0.3864086763326417	0.6548656903070948	0.6270836646600635	0.8447882311868653	0.7410448639271455	0.6270836646600635	0.6270836646600635	0.8447314813942614	5220.866644382477
1	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9934277246920191	0.8739754889273341	0.7540108699422495	0.79613333529213	0.8168853882489169	0.6016216023063079	0.7419600769824373	0.79613333529213	0.9013448122262621	0.8739754889273341	0.79613333529213	0.79613333529213	0.999151749547492	0.4177155473772069	0.6854227291190778	0.5833962611255896	0.6146446343274484	0.6493640654946319	0.3027185625180252	0.6235535262159387	0.6146446343274484	0.7928679090686355	0.6854227291190778	0.6146446343274484	0.6146446343274484	0.7415686949855321	0.6664588218138537	0.7733713166085019	0.6260217091157249	0.6534421247357294	0.6873900956824595	0.43581390206960174	0.673695762592696	0.6534421247357294	0.8641090207232079	0.7733713166085019	0.6534421247357294	0.6534421247357294	0.8962053906049957	0.3230616044498339	0.5955415936542034	0.4588211522026977	0.4655103668261563	0.49310687569113604	0.1674585493420163	0.5733773759553014	0.4655103668261563	0.7502677189047027	0.5955415936542034	0.4655103668261563	0.4655103668261563	0.6526095498565547	5521.49069070816	37.42326521873474	0.5420871845955303	0.7293970228637898	0.6047089851206573	0.634043379531589	0.6683770805885456	0.3692662322938135	0.6486246444043173	0.634043379531589	0.8284884648959217	0.7293970228637898	0.634043379531589	0.634043379531589	0.8188870427952639	5558.913955926895
2	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9940811440567252	0.8727916494229089	0.7594039956615362	0.7967944291821533	0.8160679059823761	0.6091179984349767	0.7488150798118656	0.7967944291821534	0.8988787793574836	0.8727916494229089	0.7967944291821534	0.7967944291821534	0.9991969907404412	0.4240245670846051	0.7156707793972048	0.5794963447125362	0.6189114605844998	0.6617979602362458	0.3318106068634369	0.6276230826619218	0.6189114605844998	0.834163360628192	0.7156707793972048	0.6189114605844998	0.6189114605844998	0.7834768171698786	0.6676822974835886	0.769248735637923	0.6281075462737182	0.6518344785059902	0.6833376466911031	0.4370862252501224	0.6773865045742602	0.6518344785059902	0.8588677474502043	0.769248735637923	0.6518344785059902	0.6518344785059902	0.8933961337399777	0.3300453953173668	0.6197318463033732	0.4435237691708475	0.45112307283359915	0.4841239727031488	0.2032023112986807	0.5862159496240114	0.45112307283359915	0.8021393210846991	0.6197318463033732	0.45112307283359915	0.45112307283359915	0.7011761837934571	5743.002050638199	34.00587749481201	0.5458534322840969	0.7424597575175639	0.6038019454931272	0.635372969545245	0.6725678034636744	0.38444841605677965	0.652504793618091	0.635372969545245	0.8465155540391982	0.7424597575175639	0.635372969545245	0.635372969545245	0.8384364754549282	5777.007928133011
3	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9936630632143284	0.8682263761740034	0.7481104733950426	0.7879027163613392	0.8091370859180776	0.5941126145925028	0.7396418491835207	0.7879027163613392	0.8983452294840593	0.8682263761740034	0.7879027163613392	0.7879027163613392	0.9991569931910123	0.3822643460305505	0.7168748195554856	0.5946850135395131	0.6272012944553425	0.6638716489005445	0.3463568014041911	0.6382860330729299	0.6272012944553425	0.8229037976321295	0.7168748195554856	0.6272012944553425	0.6272012944553425	0.7589781359402052	0.6638693522302727	0.7641382114566317	0.6151580725295471	0.6390393763213531	0.6726028318339053	0.4251068082232823	0.6710428390890518	0.6390393763213531	0.8609212120603376	0.7641382114566317	0.6390393763213531	0.6390393763213531	0.8920032201143792	0.3041660046718173	0.6226611078349504	0.4576488189723816	0.46271929824561403	0.4886083638956783	0.21573533687239022	0.594858379312188	0.46271929824561403	0.7913638356555831	0.6226611078349504	0.46271929824561403	0.46271929824561403	0.6696272652192242	5391.5927991867065	43.15499496459961	0.5230668491304116	0.7405065155060586	0.60492154303453	0.6331203353883478	0.668237240367225	0.3857318048137367	0.6546644360809908	0.6331203353883478	0.8419125048462335	0.7405065155060586	0.6331203353883478	0.6331203353883478	0.8254906780272921	5434.747794151306
4	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9934038689716191	0.8732293736142673	0.7581738454360805	0.796803020395799	0.8164423473096658	0.6073926334168832	0.7471173474079115	0.796803020395799	0.8995730027978207	0.8732293736142673	0.796803020395799	0.796803020395799	0.9991092535398592	0.44255896797131866	0.7166523027288524	0.5784960191261368	0.6056483760646525	0.6436090093178773	0.3455710069671345	0.637800659573114	0.6056483760646525	0.831497717250976	0.7166523027288524	0.6056483760646525	0.6056483760646525	0.7968200472388094	0.6294938590924605	0.7776325883522986	0.6298615775023287	0.6575403154350523	0.6912346105871765	0.44232817815695463	0.6761808820362413	0.6575403154350523	0.8663591263800156	0.7776325883522986	0.6575403154350523	0.6575403154350523	0.8928979979117818	0.32073963067747335	0.6292275862677308	0.448458704304637	0.4536637931034483	0.4811974006418998	0.22507107738676774	0.597999566770307	0.4536637931034483	0.8096286998884907	0.6292275862677308	0.4536637931034483	0.4536637931034483	0.696764748417752	4812.140226125717	79.9376220703125	0.5360264135318895	0.7471424455405755	0.6041787983142328	0.6315943457498524	0.6674218099525269	0.39394959256204454	0.6569907708046776	0.6315943457498524	0.8489284218154958	0.7471424455405755	0.6315943457498524	0.6315943457498524	0.8448590225752957	4892.07784819603
5	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9933163955963252	0.8773735617535683	0.7606814839862515	0.8020941985338407	0.821796344189499	0.610483799633398	0.7468975753647287	0.8020941985338407	0.9022750749347838	0.8773735617535683	0.8020941985338407	0.8020941985338407	0.9991164250472724	0.4064464538744328	0.6845971476070556	0.5850554593451073	0.61663951413594	0.650937407329504	0.30201533258444757	0.6235301605394472	0.61663951413594	0.7908095414627397	0.6845971476070556	0.61663951413594	0.61663951413594	0.7378800945394011	0.616771142977351	0.7761571783898571	0.6240596706526558	0.6537063953488372	0.689235268300623	0.43517187004716174	0.6714372930521832	0.6537063953488372	0.8678998445612336	0.7761571783898571	0.6537063953488372	0.6537063953488371	0.8913779273118861	0.3101664626775154	0.5978046369503078	0.4633847069433892	0.472188995215311	0.5031056360290609	0.16860330993753517	0.5726629048690597	0.472188995215311	0.7531465070894682	0.5978046369503078	0.472188995215311	0.472188995215311	0.6505273127200212	5805.704710245132	32.82436513900757	0.5116087984258919	0.7303771629984563	0.6045575649988815	0.6351729547423886	0.6700863378150634	0.36859360131580465	0.6474837267958152	0.6351729547423886	0.8293546930119866	0.7303771629984563	0.6351729547423886	0.6351729547423886	0.8146290109256435	5838.52907538414
6	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9934080748439439	0.876406202493159	0.765958650180511	0.8029279113840367	0.8212591496494995	0.6178550843036265	0.7535458386918978	0.8029279113840367	0.9000663840182032	0.876406202493159	0.8029279113840367	0.8029279113840367	0.999071774160514	0.42968676157766217	0.7155096652070626	0.5848823439210548	0.6249847613347962	0.6666786920514972	0.3333603792533427	0.6289143370311944	0.6249847613347962	0.8308761686224452	0.7155096652070626	0.6249847613347962	0.6249847613347962	0.7821967748115477	0.6206447165396031	0.7695438199899541	0.6250026526260319	0.6501827871740662	0.6829834086235197	0.43394350331536596	0.674653386670701	0.6501827871740662	0.8608388465869661	0.7695438199899541	0.6501827871740662	0.6501827871740662	0.8860335954490935	0.3080736538671518	0.6264989372466223	0.4396365934102294	0.44803296119085595	0.4835557050097611	0.2115857686847057	0.5884761138795519	0.44803296119085595	0.815861389657671	0.6264989372466223	0.44803296119085595	0.44803296119085595	0.7049035717101231	5564.941417217255	34.12488317489624	0.5251657390586326	0.7425267425985084	0.6049424982735434	0.6375837742544312	0.6748310503375085	0.3836519412843543	0.6517838618509477	0.6375837742544312	0.8458575076047057	0.7425267425985084	0.6375837742544312	0.6375837742544312	0.8341151851303206	5599.066300392151
7	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9926544247191533	0.8715446113316625	0.7544588177414463	0.7936946333867105	0.8139441210422211	0.6024533130820586	0.7442169684164511	0.7936946333867105	0.8992334575953158	0.8715446113316625	0.7936946333867105	0.7936946333867105	0.9990132530132352	0.3808281710628375	0.7183720462744311	0.6008384959584434	0.6345158537531447	0.6703069607779687	0.34972754333392453	0.6400240514446092	0.6345158537531447	0.8210512197082227	0.7183720462744311	0.6345158537531447	0.6345158537531447	0.7585286877135666	0.5994876820185263	0.7609018925525224	0.6078280625306827	0.6332474453840733	0.668706610436208	0.41569003761818274	0.6655777634309609	0.6332474453840733	0.8616201453328831	0.7609018925525224	0.6332474453840733	0.6332474453840733	0.8811975327311801	0.28942597358644967	0.6259334273032904	0.4550398328564056	0.4605927698032961	0.48809424751985786	0.2195609620274611	0.5956994045955832	0.4605927698032961	0.7991694565262728	0.6259334273032904	0.4605927698032961	0.4605927698032961	0.6646211993347734	5729.614454507828	31.51224374771118	0.4901579265406819	0.7396369694134768	0.604333279244563	0.633881649568609	0.6695067856070884	0.38270879047605366	0.652800907437785	0.633881649568609	0.8413356825205529	0.7396369694134768	0.633881649568609	0.633881649568609	0.8198631102223733	5761.126698255539
8	2023-09-24 22:50:09.945748	47d649a1158d9e77a8fb72aab313aaeb56839d458ee3ed5e81eb6a78ae37b212	2023-09-24 21:12:49.179980	kiba	bipartite_adaptations.estimators.bxt_sgso_us	bxt_sgso_us	0.9902930470855356	0.863664148099125	0.7418804527552256	0.7808255108185287	0.8028003966899618	0.5861283770203131	0.7361701559970828	0.7808255108185287	0.8964750533988619	0.863664148099125	0.7808255108185287	0.7808255108185287	0.9986479293007516	0.45140871553362605	0.7140381435195415	0.5762120782388257	0.6049186398588451	0.643886812181836	0.339499941610956	0.6346257826508845	0.6049186398588451	0.830542685255281	0.7140381435195415	0.6049186398588451	0.6049186398588451	0.7973254905611162	0.6660102794136499	0.7770724729933236	0.6319395081950326	0.6560007974481659	0.6876645577349729	0.44800988833479105	0.6811014081238127	0.6560007974481659	0.865085374282681	0.7770724729933236	0.6560007974481659	0.6560007974481659	0.9006847308222321	0.34458279646841583	0.6331344069379439	0.45456254830546905	0.45846394984326017	0.4820681823132164	0.23640587573785296	0.6049460830013524	0.45846394984326017	0.8094387245507992	0.6331344069379439	0.45846394984326017	0.45846394984326017	0.7138854403366279	4850.498904466629	73.37152218818665	0.558709497473638	0.7455553082564326	0.6040757932169292	0.6304597186535055	0.6657756849584044	0.3937549149728735	0.6578635953873486	0.6304597186535055	0.8478140297689809	0.7455553082564326	0.6304597186535055	0.6304597186535055	0.8490051106916742	4923.870426654816
